date,time,team,name,card,type
2025-01-26,15:46:22,,Ghost,,Assist
2025-01-24,22:14:13,,Ghost,,Assist
2025-01-22,12:00:50,Blue,Behring,2♠,Assist
2025-01-22,12:02:31,Blue,Howard,2♠,Assist
2025-01-22,12:03:14,Blue,Paul,2♠,Assist
2025-01-22,12:08:02,Blue,Daniel,2♠,Assist
2025-01-22,12:11:02,Blue,Mel,2♠,Assist
2025-01-22,12:11:39,Blue,Behring,2♠,Assist
2025-01-22,12:19:42,Blue,Howard,2♠,Assist
2025-01-22,12:23:16,Blue,Behring,2♠,Assist
2025-01-22,12:28:02,Blue,Mel,2♠,Assist
2025-01-22,12:38:18,Blue,Russel,2♠,Assist
2025-01-22,12:53:03,Blue,Brian,2♠,Assist
2025-01-22,12:58:36,Blue,Maya,2♠,Assist
2025-01-21,12:54:45,Blue,Maya,2♠,Assist
2025-01-21,13:02:14,Blue,Nishant,2♠,Assist
2025-01-20,12:19:14,Blue,Larah,2♠,Assist
2025-01-20,12:21:31,Blue,Behring,2♠,Assist
2025-01-20,12:24:39,Blue,Paul,2♠,Assist
2025-01-20,12:28:54,Blue,Daniel,2♠,Assist
2025-01-20,12:29:53,Blue,Jaemo,2♠,Assist
2025-01-20,12:34:39,Blue,Larah,2♠,Assist
2025-01-20,12:39:46,Blue,Nishant,2♠,Assist
2025-01-20,12:40:53,Blue,Larah,2♠,Assist
2025-01-20,12:46:49,Blue,Nishant,2♠,Assist
2025-01-20,12:46:59,Blue,Jose,2♠,Assist
2025-01-20,12:47:54,Blue,Nishant,2♠,Assist
2025-01-20,12:50:51,Blue,Jaemo,2♠,Assist
2025-01-20,12:57:09,Blue,Jose,2♠,Assist
2025-01-20,13:01:58,Blue,Jaemo,2♠,Assist
2025-01-20,13:02:18,Blue,Larah,2♠,Assist
2025-01-20,13:04:59,Blue,Maya,2♠,Assist
2025-01-15,12:16:44,Blue,Daniel,2♠,Assist
2025-01-15,12:18:40,Blue,Mel,2♠,Assist
2025-01-15,12:20:27,Blue,Nishant,2♠,Assist
2025-01-15,12:23:12,Blue,Behring,2♠,Assist
2025-01-15,12:24:06,Blue,Howard,2♠,Assist
2025-01-15,12:26:46,Blue,Jaemo,2♠,Assist
2025-01-15,12:32:26,Blue,Russel,2♠,Assist
2025-01-15,12:33:22,Blue,Daniel,2♠,Assist
2025-01-15,12:33:35,Blue,Howard,2♠,Assist
2025-01-15,12:38:56,Blue,Daniel,2♠,Assist
2025-01-15,12:38:59,Blue,Behring,2♠,Assist
2025-01-15,12:40:20,Blue,Mel,2♠,Assist
2025-01-15,12:42:26,Blue,Mel,2♠,Assist
2025-01-15,12:47:14,Blue,Paul,2♠,Assist
2025-01-15,12:47:28,Blue,Mel,2♠,Assist
2025-01-15,12:48:13,Blue,Howard,2♠,Assist
2025-01-15,12:53:18,Blue,Mel,2♠,Assist
2025-01-15,12:57:06,Blue,Jaemo,2♠,Assist
2025-01-14,12:19:51,Blue,Howard,2♠,Assist
2025-01-14,12:20:55,Blue,Daniel,2♠,Assist
2025-01-14,12:32:22,Blue,Brian,2♠,Assist
2025-01-14,12:35:00,Blue,Nishant,2♠,Assist
2025-01-14,12:35:13,Blue,Behring,2♠,Assist
2025-01-14,12:39:31,Blue,Paul,2♠,Assist
2025-01-14,12:42:22,Blue,Mel,2♠,Assist
2025-01-14,12:46:31,Blue,Mel,2♠,Assist
2025-01-14,12:50:48,Blue,Behring,2♠,Assist
2025-01-14,12:52:06,Blue,Mel,2♠,Assist
2025-01-14,12:53:53,Blue,Mel,2♠,Assist
2025-01-14,12:57:08,Blue,Nishant,2♠,Assist
2025-01-13,12:11:25,Blue,Nishant,2♠,Assist
2025-01-13,12:11:51,Blue,Howard,2♠,Assist
