,Temperature_K,LuminosityLLo,RadiusRRo,Absolute_magnitudeMv,Star_type,Star_color,Spectral_Class,Mag_plus_radius
0,3068,0.0024,0.17,16.12,0,Red,M,16.290000000000003
1,3042,0.0005,0.1542,16.6,0,Red,M,16.7542
2,2600,0.0003,0.102,18.7,0,Red,M,18.802
3,2800,0.0002,0.16,16.65,0,Red,M,16.81
4,1939,0.000138,0.103,20.06,0,Red,M,20.163
5,2840,0.00065,0.11,16.98,0,Red,M,17.09
6,2637,0.00073,0.127,17.22,0,Red,M,17.346999999999998
7,2600,0.0004,0.096,17.4,0,Red,M,17.496
8,2650,0.00069,0.11,17.45,0,Red,M,17.56
9,2700,0.00018,0.13,16.05,0,Red,M,16.18
10,3600,0.0029,0.51,10.69,1,Red,M,11.2
11,3129,0.0122,0.3761,11.79,1,Red,M,12.166099999999998
12,3134,0.0004,0.196,13.21,1,Red,M,13.406
13,3628,0.0055,0.393,10.48,1,Red,M,10.873000000000001
14,2650,0.0006,0.14,11.782,1,Red,M,11.922
15,3340,0.0038,0.24,13.07,1,Red,M,13.31
16,2799,0.0018,0.16,14.79,1,Red,M,14.95
17,3692,0.00367,0.47,10.8,1,Red,M,11.270000000000001
18,3192,0.00362,0.1967,13.53,1,Red,M,13.7267
19,3441,0.039,0.351,11.18,1,Red,M,11.530999999999999
20,25000,0.056,0.0084,10.58,2,Blue White,B,10.5884
21,7740,0.00049,0.01234,14.02,2,White,A,14.03234
22,7220,0.00017,0.011,14.23,2,White,F,14.241
23,8500,0.0005,0.01,14.5,2,White,A,14.51
24,16500,0.013,0.014,11.89,2,Blue White,B,11.904
25,12990,8.5e-05,0.00984,12.23,2,Yellowish White,F,12.239840000000001
26,8570,0.00081,0.0097,14.2,2,Blue white,A,14.2097
27,7700,0.00011,0.0128,14.47,2,Yellowish White,F,14.482800000000001
28,11790,0.00015,0.011,12.59,2,Yellowish White,F,12.600999999999999
29,7230,8e-05,0.013,14.08,2,Pale yellow orange,F,14.093
30,39000,204000.0,10.6,-4.7,3,Blue,O,5.8999999999999995
31,30000,28840.0,6.3,-4.2,3,Blue-white,B,2.0999999999999996
32,15276,1136.0,7.2,-1.97,3,Blue-white,B,5.23
33,9700,74.0,2.89,0.16,3,Whitish,B,3.0500000000000003
34,5800,0.81,0.9,5.05,3,yellow-white,F,5.95
35,8052,8.7,1.8,2.42,3,Whitish,A,4.22
36,6757,1.43,1.12,2.41,3,yellow-white,F,3.5300000000000002
37,6380,1.35,0.98,2.93,3,yellow-white,F,3.91
38,5936,1.357,1.106,4.46,3,yellow-white,F,5.566
39,5587,0.819,0.99,5.03,3,yellow-white,F,6.0200000000000005
40,3826,200000.0,19.0,-6.93,4,Red,M,12.07
41,3365,340000.0,23.0,-6.2,4,Red,M,16.8
42,3270,150000.0,88.0,-6.02,4,Red,M,81.98
43,3200,195000.0,17.0,-7.22,4,Red,M,9.780000000000001
44,3008,280000.0,25.0,-6.0,4,Red,M,19.0
45,3600,320000.0,29.0,-6.6,4,Red,M,22.4
46,3575,123000.0,45.0,-6.78,4,Red,M,38.22
47,3574,200000.0,89.0,-5.24,4,Red,M,83.76
48,3625,184000.0,84.0,-6.74,4,Red,M,77.26
49,33750,220000.0,26.0,-6.1,4,Blue,B,19.9
50,3490,270000.0,1520.0,-9.4,5,Red,M,1510.6
51,3750,283000.0,1260.0,-7.63,5,Red,M,1252.37
52,3834,272000.0,1183.0,-9.2,5,Red,M,1173.8
53,3749,550000.0,1648.0,-8.05,5,Orange,M,1639.95
54,3650,310000.0,1324.0,-7.79,5,Red,M,1316.21
55,3450,263000.0,1349.0,-11.75,5,Red,M,1337.25
56,3660,363000.0,1673.0,-11.92,5,Red,M,1661.08
57,3450,174000.0,1284.0,-11.28,5,Red,M,1272.72
58,3752,209000.0,955.0,-11.24,5,Red,M,943.76
59,3535,195000.0,1546.0,-11.36,5,Red,M,1534.64
60,3341,0.0056,0.057,16.23,0,Red,M,16.287
61,3432,0.00067,0.19,16.94,0,Red,M,17.130000000000003
62,2983,0.00024,0.094,16.09,0,Red,M,16.184
63,2835,0.00034,0.0918,16.96,0,Red,M,17.0518
64,2935,0.00014,0.116,18.89,0,Red,M,19.006
65,3295,0.00098,0.132,17.13,0,Red,M,17.262
66,2945,0.00032,0.093,18.34,0,Red,M,18.433
67,2817,0.00098,0.0911,16.45,0,Red,M,16.5411
68,2774,0.00036,0.118,17.39,0,Red,M,17.508
69,2871,0.00072,0.12,19.43,0,Red,M,19.55
70,3345,0.021,0.273,12.3,1,Red,M,12.573
71,3607,0.022,0.38,10.12,1,Red,M,10.5
72,3304,0.0085,0.18,13.2,1,Red,M,13.379999999999999
73,3150,0.0088,0.35,11.94,1,Red,M,12.29
74,3550,0.004,0.291,10.89,1,Red,M,11.181000000000001
75,3180,0.001,0.35,11.76,1,Red,M,12.11
76,2890,0.0034,0.24,13.46,1,Red,M,13.700000000000001
77,3342,0.0015,0.307,11.87,1,Red,M,12.177
78,2621,0.0006,0.098,12.81,1,Red,M,12.908000000000001
79,3158,0.00135,0.161,13.98,1,Red,M,14.141
80,7100,0.00029,0.012,14.09,2,White-Yellow,F,14.102
81,10574,0.00014,0.0092,12.02,2,White,F,12.0292
82,8930,0.00056,0.0095,13.78,2,white,A,13.789499999999999
83,17200,0.00098,0.015,12.45,2,Blue White,B,12.465
84,14100,0.00067,0.0089,12.17,2,Blue White,B,12.1789
85,9675,0.00045,0.0109,13.98,2,Blue White,A,13.9909
86,12010,0.00078,0.0092,12.13,2,Blue White,B,12.1392
